Year,Population,GDP,"Children out of school, primary, female","Children out of school, primary, male","School enrollment, primary (% net)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Primary completion rate, tota"
2012,1676614288,2.351320028,6140726,6070321,88.63703918,3.978054794,89.93140411
2013,1699306053,2.983924985,5893541,5751780,88.94777679,3.974627475,91.24811554
2014,1721840539,3.122315049,5854643,5467766,89.16159058,3.87526209,91.33054352
2015,1744190704,2.982139945,4604510,4349329,61.8089,3.8700355,62.57
2016,1766383450,2.03856,3223157,3044530,43.2663,3.84816092,43.8
2000,669818179,3.174814939,23909532,20294914,59.59593964,8.359351804,53.87765884
2001,687543926,3.474159956,23333958,19828284,61.25828171,8.654429298,55.50556183
2002,705929159.9,3.215810061,22969328,19411734,62.71384811,8.434243144,56.77761459
2004,744542424,3.633330107,21398548,18195180,66.77107239,7.968675326,59.14257431
2005,764866591.2,3.636250019,20490016,17359274,68.96266937,7.957007012,61.38932419
2006,785905014.5,3.747434974,19707104,16935232,70.66809845,7.81337434,64.20191193
2008,830111000.3,3.607715011,18696808,15372570,74.27707672,7.722637031,64.74175262
2009,853238652.1,4.082415104,18807628,15695638,74.55190277,7.83504318,66.9683609
2010,877023136.4,3.83660996,19238428,16276876,74.46685028,7.75198345,68.18325806
2011,901455755.4,3.89921999,18880256,15807331,75.73429108,7.772152527,68.06013489
2012,926548177.1,4.089749813,18580164,15712629,76.59204102,7.623278368,68.26303864
2013,952278631.6,4.500510216,18483448,15551901,77.48657227,7.497227206,68.23576355
